Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD196917,20382-3146,F20383-3146,,HR 7909,HD 196917,M0III,9.875,2.403,9.81,2.34,20 41 23.6583,-31 35 53.841,Star,20,41,23.6583,-31,35,53.841,310.3485763,-30.40171083
HD197912,20435+3032,Z20436+3032,52 CYG,HR 7942,HD 197912,K0IIIa,8.548,2.051,8.76,2.08,20 45 39.7537,+30 43 10.975,Star in double system,20,45,39.7537,30,43,10.975,311.4156404,30.71971528
HD197989,20442+3347,Z20442+3347,EPS CYG,HR 7949,HD 197989,K0III,43.2,9.548,42.6,9.57,20 46 12.6827,+33 58 12.922,High proper-motion star,20,46,12.6827,33,58,12.922,311.5528446,33.97025611
HD198048,20460-4624,F20460-4624,ZET IND,HR 7952,HD 198048,K5III,14.14,3.317,14.3,3.47,20 45 21.1281,+57 34 47.012,High proper-motion star,20,45,21.1281,57,34,47.012,311.3380338,57.57972556
HD198134,20451+3411,Z20451+3411,T CYG,HR 7956,HD 198134,K3III,6.867,1.831,7.32,1.9,20 47 10.7521,+34 22 26.844,Variable star,20,47,10.7521,34,22,26.844,311.7948004,34.37412333
HD198149,20442+6139,F20442+6139,ETA CEP,HR 7957,HD 198149,K0IV,13.49,3.197,14.6,3.26,20 45 17.3750,+61 50 19.615,High proper-motion star,20,45,17.375,61,50,19.615,311.3223958,61.83878194
HD198357,20478-3806,F20478-3805,SAO 212488,HR 7971,HD 198357,K3II,4.989,1.226,5.04,1.27,20 51 00.7582,-37 54 47.994,Star,20,51,0.7582,-37,54,47.994,312.7531592,-36.08666833
HD198542,20488-2706,F20488-2706,OME CAP,HR 7980,HD 198542,M0III,39.79,9.537,38.8,9.59,20 51 49.2910,-26 55 08.877,Variable star,20,51,49.291,-26,55,8.877,312.9553792,-25.0808675
HD199101,20518+3314,Z20518+3314,,HR 8005,HD 199101,K5III,8.75,2.182,9.17,2.26,20 53 53.8921,+33 26 16.408,Star in double system,20,53,53.8921,33,26,16.408,313.4745504,33.43789111
HD199345,20541-0953,F20541-0953,7 AQR,HR 8015,HD 199345,K5III,6.776,1.59,6.64,1.65,20 56 54.0278,-09 41 51.161,Variable star,20,56,54.0278,-9,41,51.161,314.2251158,-8.302455278
HD199642,20570-5356,F20570-5356,SAO 246824,,HD 199642,K5-M0III,5.262,1.301,5.24,1.36,21 00 43.4235,-53 44 20.653,Star,21,0,43.4235,-53,44,20.653,315.1809313,-52.26092972
HD199697,20560+2207,F20560+2207,33 VUL,HR 8032,HD 199697,K3.5III,6.835,1.744,6.84,1.74,20 58 16.3511,+22 19 33.267,Star,20,58,16.3511,22,19,33.267,314.5681296,22.3259075
HD200644,21020+0518,F21020+0518,3 EQU,HR 8066,HD 200644,K5III,8.778,2.296,8.68,2.27,21 04 34.6520,+05 30 10.302,Star in double system,21,4,34.652,5,30,10.302,316.1443833,5.502861667
HD200914,21041-2512,F21041-2512,24 CAP,HR 8080,HD 200914,M0.5III,29.32,7.275,28.5,7.48,21 07 07.6679,-25 00 21.072,Star in double system,21,7,7.6679,-25,0,21.072,316.7819496,-24.99414667
HD201298,21059+0647,F21060+0647,,HR 8090,HD 201298,K5III,8.118,2.007,8.11,2.1,21 08 28.1394,+06 59 21.689,Star,21,8,28.1394,6,59,21.689,317.1172475,6.989358056
HD201901,21103-2749,F21102-2749,,HR 8110,HD 201901,K3III,6.6,1.616,6.82,1.65,21 13 17.3323,-27 37 09.597,Star,21,13,17.3323,-27,37,9.597,318.3222179,-26.3806675
HD203399,21162+7648,F21162+7647,,HR 8168,HD 203399,K5III,5.539,1.404,5.66,1.41,21 15 42.4513,+77 00 44.266,Star,21,15,42.4513,77,0,44.266,318.9268804,77.01229611
HD203504,21197+1935,F21197+1935,1 PEG,HR 8173,HD 203504,K1III,10.17,2.284,9.82,2.28,21 22 05.1996,+19 48 16.229,Star in double system,21,22,5.1996,19,48,16.229,320.521665,19.80450806
HD205478,21360-7736,F21360-7737,NU OCT,HR 8254,HD 205478,K0III,11.68,2.723,11.4,2.62,21 41 28.6463,-77 23 24.167,Spectroscopic binary,21,41,28.6463,-77,23,24.167,325.3693596,-76.60995361
HD206445,21396+0103,F21396+0103,26 AQR,HR 8287,HD 206445,K2III,5.369,1.309,5.35,1.31,21 42 10.1119,+01 17 06.912,Star,21,42,10.1119,1,17,6.912,325.5421329,1.285253333
HD209688,22031-3947,F22031-3947,LAM GRU,HR 8411,HD 209688,K3III,12.41,2.992,11.7,2.95,22 06 06.8854,-39 32 36.072,Star,22,6,6.8854,-39,32,36.072,331.5286892,-38.45664667
HD211416,22150-6030,F22150-6030,ALP TUC,HR 8502,HD 211416,K3III,61.35,14.63,59.3,14.4,22 18 30.0941,-60 15 34.515,Spectroscopic binary,22,18,30.0941,-60,15,34.515,334.6253921,-59.7404125
HD213310,22274+4726,Z22274+4727,5 LAC,HR 8572,HD 213310,M0II+B8V,45.9,11.96,47.1,12.1,22 29 31.8222,+47 42 24.792,Double or multiple star,22,29,31.8222,47,42,24.792,337.3825925,47.70688667
HD214868,22383+4400,F22383+4400,11 LAC,HR 8632,HD 214868,K2.5III,11.36,2.868,11.3,2.96,22 40 30.8591,+44 16 34.698,Star,22,40,30.8591,44,16,34.698,340.1285796,44.276305
HD216032,22469-1351,F22469-1351,PI 2 AQR,HR 8679,HD 216032,M0III,38.26,9.491,38,9.24,22 49 35.5023,-13 35 33.475,Star in double system,22,49,35.5023,-13,35,33.475,342.3979263,-12.40736806
HD216149,22481-3925,F22481-3925,SAO 214134,HR 8685,HD 216149,M0III,6.32,1.617,6.22,1.61,22 51 02.1594,-39 09 24.601,Star,22,51,2.1594,-39,9,24.601,342.7589975,-38.84316639
HD216397,22497+4302,F22497+4302,15 LAC,HR 8699,HD 216397,M0III,16.31,4.054,16,3.97,22 52 02.0349,+43 18 44.702,Star in double system,22,52,2.0349,43,18,44.702,343.0084788,43.31241722
HD216446,22477+8253,F22477+8253,SAO 3794,HR 8702,HD 216446,K3III,8.28,2.016,8.24,2.03,22 47 29.0631,+83 09 13.789,Double or multiple star,22,47,29.0631,83,9,13.789,341.8710963,83.15383028
HD217902,23017-5414,F23017-5413,KAP GRU,HR 8774,HD 217902,K5III,8.361,2.047,8.58,2.02,23 04 39.6273,-53 57 53.659,Star,23,4,39.6273,-53,57,53.659,346.1651138,-52.03509472
HD218452,23053+4606,F23053+4606,4 AND,HR 8804,HD 218452,K5III,6.588,1.62,6.53,1.64,23 07 39.2676,+46 23 14.031,Star in double system,23,7,39.2676,46,23,14.031,346.913615,46.38723083
HD218670,23075-4531,F23075-4531,IOTA GRU,HR 8820,HD 218670,K1III,9.411,2.216,9.17,2.22,23 10 21.5377,-45 14 48.161,Spectroscopic binary,23,10,21.5377,-45,14,48.161,347.5897404,-44.75328861
HD219449,23132-0921,F23132-0921,PSI 1 AQR,HR 8841,HD 219449,K1-III,8.967,1.931,8.59,1.91,23 15 53.4947,-09 05 15.853,High proper-motion star,23,15,53.4947,-9,5,15.853,348.9728946,-8.912263056
HD219784,23161-3248,F23161-3248,GAM SCL,HR 8863,HD 219784,K1III,8.406,1.946,8.75,1.93,23 18 49.4404,-32 31 55.296,Star,23,18,49.4404,-32,31,55.296,349.7060017,-31.46797333
HD219981,23174+4148,F23174+4148,10 AND,HR 8876,HD 219981,M0III,5.712,1.467,5.51,1.4,23 19 52.4187,+42 04 40.959,Star,23,19,52.4187,42,4,40.959,349.9684113,42.07804417
HD220009,23177+0506,F23177+0506,7 PSC,HR 8878,HD 220009,K2III,7.355,1.578,7.24,1.68,23 20 20.5831,+05 22 52.706,Star,23,20,20.5831,5,22,52.706,350.0857629,5.381307222
HD220088,23183+3008,F23183+3008,63 PEG,HR 8882,HD 220088,M0III,8.074,1.977,7.87,1.86,23 20 49.5568,+30 24 53.716,Star,23,20,49.5568,30,24,53.716,350.2064867,30.41492111
HD220363,23205+1202,F23205+1202,66 PEG,HR 8893,HD 220363,K3III,6.931,1.55,7.14,1.56,23 23 04.5685,+12 18 50.077,Double or multiple star,23,23,4.5685,12,18,50.077,350.7690354,12.31391028
HD220440,23214-5209,F23214-5209,SAO 247858,HR 8898,HD 220440,M0III,8.377,1.958,8.46,2.08,23 24 13.2607,-51 53 28.227,Star,23,24,13.2607,-51,53,28.227,351.0552529,-50.10882583
HD220954,23254+0606,F23254+0606,THE PSC,HR 8916,HD 220954,K0.5III,8.098,1.92,8.14,2.07,23 27 58.0951,+06 22 44.372,Star,23,27,58.0951,6,22,44.372,351.9920629,6.378992222
HD221588,23305+4550,F23305+4550,,,HD 221588,M0III,8.885,2.265,8.73,2.31,23 32 56.4819,+46 07 25.253,Semi-regular pulsating star,23,32,56.4819,46,7,25.253,353.2353413,46.12368139
HD222404,23372+7721,F23372+7721,GAM CEP,HR 8974,HD 222404,K1III-IV,19.67,4.561,20.7,4.59,23 39 20.8490,+77 37 56.193,Variable star,23,39,20.849,77,37,56.193,354.8368708,77.63227583
HD224630,23568-2945,F23569-2945,,HR 9073,HD 224630,K5III,8.624,2.19,9.08,2.27,23 59 27.8964,-29 29 06.604,Variable star,23,59,27.8964,-29,29,6.604,359.866235,-28.51483222
HD224889,23590-7720,F23590-7720,THE OCT,HR 9084,HD 224889,K3III,8.222,1.966,8.65,2.04,00 01 35.7037,-77 03 56.608,Star,0,1,35.7037,-77,3,56.608,0.398765417,-76.93427556
