Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD27639,04194+2042,F04194+2042,,HR 1370,HD 27639,M0IIIab,13.75,3.41,13.7,3.65,04 22 22.7298,+20 49 17.097,Double or multiple star,4,22,22.7298,20,49,17.097,65.5947075,20.82141583
HD27697,04200+1725,F04200+1725,DEL 1 TAU,HR 1373,HD 27697,G9.5III,10.32,2.205,10.1,2.21,04 22 56.0933,+17 32 33.051,binary,4,22,56.0933,17,32,33.051,65.73372208,17.54251417
HD28305,04256+1904,F04256+1904,EPS TAU,HR 1409,HD 28305,G9.5III,13.19,3.199,12.9,3.18,04 28 36.9995,+19 10 49.554,Star in double system,4,28,36.9995,19,10,49.554,67.15416458,19.18043167
HD28413,04243-6121,F04243-6120,SAO 249016,HR 1416,HD 28413,K4.5III,5.501,1.333,5.52,1.4,04 25 05.3373,-61 14 17.497,Star,4,25,5.3373,-61,14,17.497,66.27223875,-60.76180639
HD28749,04293-0009,F04293-0009,45 ERI,HR 1437,HD 28749,K3II-III,7.643,1.754,7.29,1.75,04 31 52.6673,-00 02 38.440,Star,4,31,52.6673,0,2,38.44,67.96944708,0.044011111
HD29085,04315-2952,F04315-2952,UPS 1 ERI,HR 1453,HD 29085,K0+III,6.071,1.372,6.43,1.44,04 33 30.5527,-29 45 59.371,Variable star,4,33,30.5527,-29,45,59.371,68.37730292,-28.23350806
HD29503,04358-1424,F04358-1424,53 ERI,HR 1481,HD 29503,K1.5IIIb,13.63,3.098,14.1,3.09,04 38 10.8241,-14 18 14.471,Double or multiple star,4,38,10.8241,-14,18,14.471,69.54510042,-13.69598028
HD30080,04412-3051,F04412-3051,,HR 1509,HD 30080,K2III,5.048,1.267,5.54,1.26,04 43 09.2933,-30 45 56.005,Star,4,43,9.2933,-30,45,56.005,70.78872208,-29.23444306
HD30338,04509+8107,F04509+8107,SAO 783,HR 1523,HD 30338,K3III,6.673,1.617,6.49,1.61,05 00 20.7207,+81 11 38.716,Star,5,0,20.7207,81,11,38.716,75.08633625,81.19408778
HD31312,04559+7411,F04559+7411,,HR 1572,HD 31312,K5III,5.658,1.373,5.55,1.33,05 02 19.8135,+74 16 09.724,Star,5,2,19.8135,74,16,9.724,75.58255625,74.26936778
HD31398,04537+3305,Z04537+3305,IOTA AUR,HR 1577,HD 31398,K3II,87.21,20.31,87.3,20.6,04 56 59.6187,+33 09 57.925,Variable star,4,56,59.6187,33,9,57.925,74.24841125,33.16609028
HD31421,04535+1326,F04535+1326,OMI 2 ORI,HR 1580,HD 31421,K2-III,13.34,3.157,13.6,3.09,04 56 22.2744,+13 30 52.077,Star in double system,4,56,22.2744,13,30,52.077,74.09281,13.51446583
HD31767,04559+0138,F04559+0138,PI 6 ORI,HR 1601,HD 31767,K2-II,12.93,3.103,12.8,3.08,04 58 32.9019,+01 42 50.457,Variable star,4,58,32.9019,1,42,50.457,74.63709125,1.714015833
HD32820,05026-3532,F05026-3532,GAM 1 CAE,HR 1652,HD 32820,K3III,8.578,2.011,8.9,2.14,05 03 53.9530,-41 44 41.821,"Star -19 22 11.564 , Star>",5,3,53.953,-41,44,41.821,75.97480417,-40.25504972
HD32887,05033-2226,F05033-2226,EPS LEP,HR 1654,HD 32887,K4III,56.34,13.03,56.8,15.7,05 05 27.6643,-22 22 15.717,Variable Star,5,5,27.6643,-22,22,15.717,76.36526792,-21.6289675
