angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.767993,115.24361,23.01845,0740584+230106,7.581,0.0345,3,1.798,0.0236,3,0,0,0,0,115.24361,23.01845,HD61603,07379+2308,F07380+2307,,HR 2951,HD 61603,K5III,6.092,1.356,5.82,1.48,07 40 58.5183,+23 01 06.696,Star,7,40,58.5183,23,1,6.696,115.2438263,23.01852667
1.015310,74.09252,13.51446,0456222+133052,17.72,0.194,3,3.851,0.0205,3,0,0,0,0,74.09252,13.51446,HD31421,04535+1326,F04535+1326,OMI 2 ORI,HR 1580,HD 31421,K2-III,13.34,3.157,13.6,3.09,04 56 22.2744,+13 30 52.077,Star in double system,4,56,22.2744,13,30,52.077,74.09281,13.51446583
0.538621,74.24826,33.16617,0456595+330958,118.3,0.438,3,26.27,0.321,3,0,0,0,0,74.24826,33.16617,HD31398,04537+3305,Z04537+3305,IOTA AUR,HR 1577,HD 31398,K3II,87.21,20.31,87.3,20.6,04 56 59.6187,+33 09 57.925,Variable star,4,56,59.6187,33,9,57.925,74.24841125,33.16609028
1.287917,17.18225,86.25727,0108437+861526,14.97,0.0694,3,3.255,0.02,3,0,0,0,0,17.18225,86.25727,HD5848,01015+8559,F01015+8559,SAO 181,HR 285,HD 5848,K2II-III,10.78,2.601,11.2,2.57,01 08 44.8773,+86 15 25.525,Star,1,8,44.8773,86,15,25.525,17.18698875,86.25709028
0.947574,102.69149,41.78097,0650459+414651,8.269,0.0477,3,1.885,0.0481,3,0,0,0,0,102.69149,41.78097,HD49520,06472+4150,F06472+4150,PSI 7 AUR,HR 2516,HD 49520,K3III,6.284,1.395,6.24,1.45,06 50 45.9444,+41 46 52.428,Star in double system,6,50,45.9444,41,46,52.428,102.691435,41.78123
0.679938,42.87861,35.05958,0251308+350334,31.98,0.0658,3,6.969,0.0853,3,0,0,0,0,42.87861,35.05958,HD17709,02484+3451,F02484+3451,17 PER,HR 843,HD 17709,K5.5III,23.24,5.635,22.8,5.45,02 51 30.8375,+35 03 35.068,Variable star,2,51,30.8375,35,3,35.068,42.87848958,35.05974111
0.216104,5.14948,8.19025,0020358+081124,7.444,0.0305,3,1.702,0.00579,3,0,0,0,0,5.14948,8.19025,HD1635,00180+0754,F00180+0754,41 PSC,HR 80,HD 1635,K3-III,5.21,1.402,5.29,1.29,00 20 35.8616,+08 11 24.977,Variable star,0,20,35.8616,8,11,24.977,5.149423333,8.190271389
0.402395,5.1897,32.91108,0020455+325439,11.88,0.0451,3,2.721,0.0183,3,0,0,0,0,5.1897,32.91108,HD1632,00181+3238,F00181+3237,,HR 79,HD 1632,K5III,9.099,2.121,9.02,2.2,00 20 45.5182,+32 54 40.271,Star,0,20,45.5182,32,54,40.271,5.189659167,32.91118639
0.397931,65.31354,27.35014,0421152+272100,9.796,0.207,3,2.234,0.0451,3,0,0,0,0,65.31354,27.35014,HD27482,04181+2713,F04181+2713,,,HD 27482,K5III,7.11,1.703,6.43,1.77,04 21 15.2587,+27 21 00.883,Star,4,21,15.2587,27,21,0.883,65.31357792,27.35024528
1.265034,17.58113,25.45742,0110194+252726,7.532,0.0361,3,1.732,0.0127,3,0,0,0,0,17.58113,25.45742,HD6953,01075+2511,F01075+2511,,HR 341,HD 6953,K7III,5.337,1.358,5.28,1.35,01 10 19.4513,+25 27 27.948,Star,1,10,19.4513,25,27,27.948,17.58104708,25.45776333
1.276841,74.63717,1.71367,0458329+014249,17.51,0.0894,3,3.86,0.0307,3,0,0,0,0,74.63717,1.71367,HD31767,04559+0138,F04559+0138,PI 6 ORI,HR 1601,HD 31767,K2-II,12.93,3.103,12.8,3.08,04 58 32.9019,+01 42 50.457,Variable star,4,58,32.9019,1,42,50.457,74.63709125,1.714015833
1.959469,115.82817,28.88298,0743187+285258,14.51,0.0255,3,3.165,0.0507,3,0,0,0,0,115.82817,28.88298,HD62044,07401+2900,F07402+2900,SIG GEM,HR 2973,HD 62044,K1III,11.72,2.531,12.4,2.47,07 43 18.7265,+28 53 00.635,Variable of RS CVn type,7,43,18.7265,28,53,0.635,115.8280271,28.88350972
0.742511,102.9998,23.60156,0651599+233605,7.56,0.106,3,1.772,0.0522,3,0,0,0,0,102.9998,23.60156,HD49968,06489+2339,F06489+2339,,HR 2533,HD 49968,K5III,5.639,1.394,5.83,1.42,06 51 59.9867,+23 36 06.185,Star,6,51,59.9867,23,36,6.185,102.9999446,23.60171806
0.576017,127.89871,18.09445,0831356+180540,17.32,0.144,3,4.056,0.102,3,0,0,0,0,127.89871,18.09445,HD72094,08287+1815,F08287+1815,THE CNC,HR 3357,HD 72094,K5III,13.69,2.982,13.2,3.08,08 31 35.7301,+18 05 39.913,Star in double system,8,31,35.7301,18,5,39.913,127.8988754,18.09442028
0.846736,89.88222,54.28468,0559317+541704,16.14,0.0618,3,3.477,0.0432,3,0,0,0,0,89.88222,54.28468,HD40035,05554+5416,F05554+5416,DEL AUR,HR 2077,HD 40035,K0-III,11.53,2.704,11.7,2.68,05 59 31.6366,+54 17 04.762,Star in double system,5,59,31.6366,54,17,4.762,89.88181917,54.28465611
0.094761,65.59473,20.8214,0422227+204917,19.5,0.14,3,4.416,0.0738,3,0,0,0,0,65.59473,20.8214,HD27639,04194+2042,F04194+2042,,HR 1370,HD 27639,M0IIIab,13.75,3.41,13.7,3.65,04 22 22.7298,+20 49 17.097,Double or multiple star,4,22,22.7298,20,49,17.097,65.5947075,20.82141583
0.708442,116.02875,25.78397,0744069+254702,13.74,0.0976,3,3.063,0.00571,3,0,0,0,0,116.02875,25.78397,HD62285,07410+2554,F07410+2554,76 GEM,HR 2983,HD 62285,K4.5III,10.82,2.407,10.9,2.47,07 44 06.9147,+25 47 02.972,Variable star,7,44,6.9147,25,47,2.972,116.0288113,25.78415889
0.491464,133.98134,11.62594,0855555+113733,7.774,0.0322,3,1.807,0.0395,3,0,0,0,0,133.98134,11.62594,HD76351,08531+1149,F08531+1149,60 CNC,HR 3550,HD 76351,K5III,6.051,1.267,6.38,1.26,08 55 55.5481,+11 37 33.684,Variable star,8,55,55.5481,11,37,33.684,133.9814504,11.62602333
1.068603,169.32276,2.01041,1117174+020037,17.74,0.0981,3,3.971,0.101,3,0,0,0,0,169.32276,2.01041,HD98118,11147+0217,F11147+0217,75 LEO,HR 4371,HD 98118,M0III,12.89,3.191,12.8,3.26,11 17 17.4003,+02 00 38.001,Star,11,17,17.4003,2,0,38.001,169.3225013,2.010555833
1.577988,65.7339,17.54211,0422561+173231,13.86,0.0251,3,3.074,0.0892,3,0,0,0,0,65.7339,17.54211,HD27697,04200+1725,F04200+1725,DEL 1 TAU,HR 1373,HD 27697,G9.5III,10.32,2.205,10.1,2.21,04 22 56.0933,+17 32 33.051,binary,4,22,56.0933,17,32,33.051,65.73372208,17.54251417
0.643811,18.43723,24.58354,0113449+243500,6.971,0.0199,3,1.533,0.0177,3,0,0,0,0,18.43723,24.58354,HD7318,01110+2419,F01110+2419,PHI PSC,HR 360,HD 7318,K0III,5.935,1.153,6.1,1.25,01 13 44.9471,+24 35 01.367,Star in double system,1,13,44.9471,24,35,1.367,18.43727958,24.58371306
0.160244,75.08649,81.19405,0500207+811138,8.842,0.0615,3,1.999,0.0525,3,0,0,0,0,75.08649,81.19405,HD30338,04509+8107,F04509+8107,SAO 783,HR 1523,HD 30338,K3III,6.673,1.617,6.49,1.61,05 00 20.7207,+81 11 38.716,Star,5,0,20.7207,81,11,38.716,75.08633625,81.19408778
1.569170,140.26323,34.39261,0921031+342333,113.7,2.01,3,24.64,0.0615,3,0,0,0,0,140.26323,34.39261,HD80493,09180+3436,F09180+3436,ALP LYN,HR 3705,HD 80493,K7IIIab,83.78,19.64,86.9,19.6,09 21 03.3012,+34 23 33.223,Variable star,9,21,3.3012,34,23,33.223,140.263755,34.39256194
1.927708,31.79382,23.46209,0207105+232743,114.9,1.09,3,24.22,0.163,3,0,0,0,0,31.79382,23.46209,HD12929,02043+2313,F02043+2313,ALP ARI,HR 617,HD 12929,K2-IIIab,84.76,20.01,77.8,20.3,02 07 10.4071,+23 27 44.723,Variable star,2,7,10.4071,23,27,44.723,31.79336292,23.46242306
0.749633,188.68278,70.02176,1234438+700118,13.65,0.0476,3,3.117,0.0135,3,0,0,0,0,188.68278,70.02176,HD109551,12326+7017,F12326+7017,6 DRA,HR 4795,HD 109551,K2.5III,10.22,2.471,10.6,2.51,12 34 44.0133,+70 01 18.371,Star,12,34,44.0133,70,1,18.371,188.6833888,70.02176972
0.448440,169.61973,33.09443,1118287+330539,48.72,0.309,3,10.61,0.146,3,0,0,0,0,169.61973,33.09443,HD98262,11157+3322,F11157+3322,NU UMA,HR 4377,HD 98262,K3-III,35.22,8.297,35.7,8.25,11 18 28.7368,+33 05 39.500,Star in double system,11,18,28.7368,33,5,39.5,169.6197367,33.09430556
0.485537,188.78219,18.37706,1235077+182237,6.525,0.0187,3,1.477,0.0347,3,0,0,0,0,188.78219,18.37706,HD109511,12326+1839,F12325+1839,24 COM,HR 4792,HD 109511,K2III,4.704,1.087,4.64,1.37,12 35 07.7597,+18 22 37.408,Variable star,12,35,7.7597,18,22,37.408,188.7823321,18.37705778
